Name,Rank,Casinos,Provider,Market,Date,NameInternal,ProviderInternal
Wolf Gold,1,54,Pragmatic Play,AU,2021-02-25,wolfgold,pragmaticplay
Wild Diamond 7x,2,84,Booming Games,AU,2021-02-25,wilddiamond7x,boominggames
Gold Vein,3,72,Booming Games,AU,2021-02-25,goldvein,boominggames
Primal Hunt,4,77,Betsoft,AU,2021-02-25,primalhunt,betsoft
Weight of the Gun,5,26,Lady Luck Games,AU,2021-02-25,weightofthegun,ladyluckgames
Ruler of Egypt,6,26,Lady Luck Games,AU,2021-02-25,rulerofegypt,ladyluckgames
Orango Tango,7,26,Lady Luck Games,AU,2021-02-25,orangotango,ladyluckgames
Elvis Frog in Vegas,8,39,BGAMING,AU,2021-02-25,elvisfroginvegas,bgaming
Majestic Megaways,9,73,iSoftBet,AU,2021-02-25,majesticmegaways,isoftbet
Take Olympus,10,63,Betsoft,AU,2021-02-25,takeolympus,betsoft
Miles Bellhouse And The Gears Of Time,11,71,Betsoft,AU,2021-02-25,milesbellhouseandthegearsoftime,betsoft
Gold Digger,12,66,iSoftBet,AU,2021-02-25,golddigger,isoftbet
Take Santa's Shop,13,71,Betsoft,AU,2021-02-25,takesantasshop,betsoft
Loony Blox,14,73,Habanero,AU,2021-02-25,loonyblox,habanero
Sphinx Fortune,15,62,Booming Games,AU,2021-02-25,sphinxfortune,boominggames
Rock Paper Scissors,16,38,Playtech,AU,2021-02-25,rockpaperscissors,playtech
World of Diamonds,17,26,BetConstruct,AU,2021-02-25,worldofdiamonds,betconstruct
Wizards Want War,18,68,Habanero,AU,2021-02-25,wizardswantwar,habanero
Hot Stuff,19,26,BetConstruct,AU,2021-02-25,hotstuff,betconstruct
Lucky 7 Betsoft,20,41,Betsoft,AU,2021-02-25,lucky7betsoft,betsoft
TikiPop,21,23,AvatarUX Studios,AU,2021-02-25,tikipop,avataruxstudios
Labyrinth Of Knossos,22,36,Dream Tech,AU,2021-02-25,labyrinthofknossos,dreamtech
Lucky 6,23,36,RTG,AU,2021-02-25,lucky6,rtg
Caishen's Gold,24,50,Pragmatic Play,AU,2021-02-25,caishensgold,pragmaticplay
Wheel of Fortune on tour,25,35,IGT,AU,2021-02-25,wheeloffortuneontour,igt
Book of Cai Shen,26,35,iSoftBet,AU,2021-02-25,bookofcaishen,isoftbet
Booming Bananas,27,76,Booming Games,AU,2021-02-25,boomingbananas,boominggames
Pearl Beauty Hold and Win,28,32,Playson,AU,2021-02-25,pearlbeautyholdandwin,playson
Eye of the Amulet,29,71,iSoftBet,AU,2021-02-25,eyeoftheamulet,isoftbet
Viking's Plunder,30,70,Habanero,AU,2021-02-25,vikingsplunder,habanero
Clover Lady,31,43,Wazdan,AU,2021-02-25,cloverlady,wazdan
Divine Dragon: Hold and Win,32,29,Playson,AU,2021-02-25,divinedragonholdandwin,playson
Mega Diamonds,33,26,BetConstruct,AU,2021-02-25,megadiamonds,betconstruct
Ways of Fortune,34,66,Habanero,AU,2021-02-25,waysoffortune,habanero
88 Dragons Treasure,35,30,Belatra Games,AU,2021-02-25,88dragonstreasure,belatragames
The Night Racing,36,31,Belatra Games,AU,2021-02-25,thenightracing,belatragames
Cash Pig,37,71,Booming Games,AU,2021-02-25,cashpig,boominggames
9 Lions,38,46,Wazdan,AU,2021-02-25,9lions,wazdan
Big Apple Wins,39,71,Booming Games,AU,2021-02-25,bigapplewins,boominggames
Dinosaur Rage,40,48,Quickspin,AU,2021-02-25,dinosaurrage,quickspin
Vegas High Roller,41,77,iSoftBet,AU,2021-02-25,vegashighroller,isoftbet
Dragon Pearls: Hold & Win,42,42,Booongo,AU,2021-02-25,dragonpearlsholdwin,booongo
Western Gold Megaways,43,43,iSoftBet,AU,2021-02-25,westerngoldmegaways,isoftbet
Booming Seven Deluxe,44,73,Booming Games,AU,2021-02-25,boomingsevendeluxe,boominggames
Orbs of Atlantis,45,25,Habanero,AU,2021-02-25,orbsofatlantis,habanero
Diamond Wins,46,28,Playson,AU,2021-02-25,diamondwins,playson
Egypt King,47,16,Swintt,AU,2021-02-25,egyptking,swintt
Sun of Egypt,48,41,Booongo,AU,2021-02-25,sunofegypt,booongo
Sherlock Bones,49,28,Electric Elephant,AU,2021-02-25,sherlockbones,electricelephant
Super Boom,50,73,Booming Games,AU,2021-02-25,superboom,boominggames
Hot Spin Deluxe,51,74,iSoftBet,AU,2021-02-25,hotspindeluxe,isoftbet
East Coast vs West Coast,52,45,Nolimit City,AU,2021-02-25,eastcoastvswestcoast,nolimitcity
Fortune Pig,53,78,iSoftBet,AU,2021-02-25,fortunepig,isoftbet
Cai Shen 689,54,15,Felix Gaming,AU,2021-02-25,caishen689,felixgaming
Stellar Spins,55,71,Booming Games,AU,2021-02-25,stellarspins,boominggames
Hot Triple Sevens,56,26,Evoplay Entertainment,AU,2021-02-25,hottriplesevens,evoplayentertainment
Fruit Nova,57,27,Evoplay Entertainment,AU,2021-02-25,fruitnova,evoplayentertainment
Sea God,58,9,Swintt,AU,2021-02-25,seagod,swintt
Butterfly Lovers,59,41,Wazdan,AU,2021-02-25,butterflylovers,wazdan
Sakura Fortune,60,49,Quickspin,AU,2021-02-25,sakurafortune,quickspin
Aztec Magic Deluxe,61,39,BGAMING,AU,2021-02-25,aztecmagicdeluxe,bgaming
Howling Wolves,62,67,Booming Games,AU,2021-02-25,howlingwolves,boominggames
Royal Wins,63,73,Booming Games,AU,2021-02-25,royalwins,boominggames
Great Panda,64,43,Booongo,AU,2021-02-25,greatpanda,booongo
Disco Double,65,64,iSoftBet,AU,2021-02-25,discodouble,isoftbet
88 Golden 88,66,32,Belatra Games,AU,2021-02-25,88golden88,belatragames
Roo Riches,67,77,iSoftBet,AU,2021-02-25,rooriches,isoftbet
Gem Splitter,68,38,Wazdan,AU,2021-02-25,gemsplitter,wazdan
Quick Cash Fruits,69,13,NetGame,AU,2021-02-25,quickcashfruits,netgame
Buffalo Power Hold and Win,70,26,Playson,AU,2021-02-25,buffalopowerholdandwin,playson
Amazing Yu,71,11,Felix Gaming,AU,2021-02-25,amazingyu,felixgaming
Jump,72,69,Habanero,AU,2021-02-25,jump,habanero
Hell'Sing,73,18,Mascot Gaming,AU,2021-02-25,hellsing,mascotgaming
Money Train 2,74,40,Relax Gaming,AU,2021-02-25,moneytrain2,relaxgaming
Miami Nights,75,66,Booming Games,AU,2021-02-25,miaminights,boominggames
Bounty Belles,76,42,iSoftBet,AU,2021-02-25,bountybelles,isoftbet
Pearl of the Orient,77,68,iSoftBet,AU,2021-02-25,pearloftheorient,isoftbet
Barbarian Fury,78,47,Nolimit City,AU,2021-02-25,barbarianfury,nolimitcity
Tombstone,79,44,Nolimit City,AU,2021-02-25,tombstone,nolimitcity
Book of Egypt,80,45,Platipus,AU,2021-02-25,bookofegypt,platipus
15 Dragon Pearls,81,36,Booongo,AU,2021-02-25,15dragonpearls,booongo
San Quentin,82,45,Nolimit City,AU,2021-02-25,sanquentin,nolimitcity
Punk Rocker,83,43,Nolimit City,AU,2021-02-25,punkrocker,nolimitcity
Lucky Bank Robbers,84,34,Belatra Games,AU,2021-02-25,luckybankrobbers,belatragames
Thunder Of Olympus,85,32,Booongo,AU,2021-02-25,thunderofolympus,booongo
Bison Trail,86,43,Platipus,AU,2021-02-25,bisontrail,platipus
Deadwood,87,45,Nolimit City,AU,2021-02-25,deadwood,nolimitcity
Buddha Fortune Hold and Win,88,39,Booongo,AU,2021-02-25,buddhafortuneholdandwin,booongo
Sugar Skulls,89,70,Booming Games,AU,2021-02-25,sugarskulls,boominggames
Vikings Go Berzerk,90,42,Yggdrasil,AU,2021-02-25,vikingsgoberzerk,yggdrasil
Fruit Million,91,30,BGAMING,AU,2021-02-25,fruitmillion,bgaming
Cleo's Gold,92,39,Platipus,AU,2021-02-25,cleosgold,platipus
Jammin' Jars,93,15,Push Gaming,AU,2021-02-25,jamminjars,pushgaming
Book of Shadows,94,40,Nolimit City,AU,2021-02-25,bookofshadows,nolimitcity
Loco the Monkey,95,40,Quickspin,AU,2021-02-25,locothemonkey,quickspin
Temple Tumble,96,43,Relax Gaming,AU,2021-02-25,templetumble,relaxgaming
Fire Lightning,97,40,BGAMING,AU,2021-02-25,firelightning,bgaming
Gladiator Arena,98,69,Booming Games,AU,2021-02-25,gladiatorarena,boominggames
Christmas Tree,99,37,TrueLab Games,AU,2021-02-25,christmastree,truelabgames
Valley Of The Gods 2,100,39,Yggdrasil,AU,2021-02-25,valleyofthegods2,yggdrasil
Lightning Roulette,1,40,Evolution Gaming,AT,2021-02-25,lightningroulette,evolutiongaming
Gonzo's Quest Megaways,2,47,Red Tiger,AT,2021-02-25,gonzosquestmegaways,redtiger
Book of Dead,3,47,Play'n Go,AT,2021-02-25,bookofdead,playngo
Starburst,4,58,NetEnt,AT,2021-02-25,starburst,netent
Piggy Riches Megaways,5,48,Red Tiger,AT,2021-02-25,piggyrichesmegaways,redtiger
Crazy Time,6,36,Evolution Gaming,AT,2021-02-25,crazytime,evolutiongaming
The Dog House Megaways,7,42,Pragmatic Play,AT,2021-02-25,thedoghousemegaways,pragmaticplay
The Paying Piano Club,8,32,Play'n Go,AT,2021-02-25,thepayingpianoclub,playngo
Wolf Gold,9,48,Pragmatic Play,AT,2021-02-25,wolfgold,pragmaticplay
Adventures Of Doubloon Island,10,21,Triple Edge Studios,AT,2021-02-25,adventuresofdoubloonisland,tripleedgestudios
Ramses Book,11,32,Gamomat,AT,2021-02-25,ramsesbook,gamomat
Joker King,12,26,Pragmatic Play,AT,2021-02-25,jokerking,pragmaticplay
Bonanza,13,53,Big Time Gaming,AT,2021-02-25,bonanza,bigtimegaming
Reactoonz,14,40,Play'n Go,AT,2021-02-25,reactoonz,playngo
Fancy Fruits,15,29,Gamomat,AT,2021-02-25,fancyfruits,gamomat
Legacy of Dead,16,44,Play'n Go,AT,2021-02-25,legacyofdead,playngo
Ruler of Egypt,17,12,Lady Luck Games,AT,2021-02-25,rulerofegypt,ladyluckgames
Weight of the Gun,18,12,Lady Luck Games,AT,2021-02-25,weightofthegun,ladyluckgames
Fire Joker,19,39,Play'n Go,AT,2021-02-25,firejoker,playngo
Royal Seven XXL,20,28,Gamomat,AT,2021-02-25,royalsevenxxl,gamomat
Golden Leprechaun Megaways,21,41,Red Tiger,AT,2021-02-25,goldenleprechaunmegaways,redtiger
Book of Ra deluxe,22,41,Greentube,AT,2021-02-25,bookofradeluxe,greentube
Crystal Ball,23,30,Gamomat,AT,2021-02-25,crystalball,gamomat
Lord of the Ocean,24,30,Greentube,AT,2021-02-25,lordoftheocean,greentube
Rome The Golden Age,25,27,NetEnt,AT,2021-02-25,romethegoldenage,netent
Books And Pearls,26,26,Gamomat,AT,2021-02-25,booksandpearls,gamomat
Gold Vein,27,30,Booming Games,AT,2021-02-25,goldvein,boominggames
Wild Diamond 7x,28,27,Booming Games,AT,2021-02-25,wilddiamond7x,boominggames
Gonzo's Quest,29,54,NetEnt,AT,2021-02-25,gonzosquest,netent
Orango Tango,30,12,Lady Luck Games,AT,2021-02-25,orangotango,ladyluckgames
Take 5,31,26,Gamomat,AT,2021-02-25,take5,gamomat
Jewel Scarabs,32,42,Red Tiger,AT,2021-02-25,jewelscarabs,redtiger
Sticky Diamonds,33,25,Gamomat,AT,2021-02-25,stickydiamonds,gamomat
Rock Paper Scissors,34,14,Playtech,AT,2021-02-25,rockpaperscissors,playtech
Age of the Gods Book of Oracle,35,10,Ash Gaming,AT,2021-02-25,ageofthegodsbookoforacle,ashgaming
John Hunter And The Book Of Tut,36,42,Pragmatic Play,AT,2021-02-25,johnhunterandthebookoftut,pragmaticplay
TikiPop,37,13,AvatarUX Studios,AT,2021-02-25,tikipop,avataruxstudios
Money Train 2,38,26,Relax Gaming,AT,2021-02-25,moneytrain2,relaxgaming
Madame Destiny Megaways,39,32,Pragmatic Play,AT,2021-02-25,madamedestinymegaways,pragmaticplay
Sakura Fortune,40,32,Quickspin,AT,2021-02-25,sakurafortune,quickspin
Speed Baccarat B,41,23,Evolution Gaming,AT,2021-02-25,speedbaccaratb,evolutiongaming
Fancy Fruits Respins Of Amun-Re,42,25,Gamomat,AT,2021-02-25,fancyfruitsrespinsofamunre,gamomat
Divine Fortune Megaways,43,47,NetEnt,AT,2021-02-25,divinefortunemegaways,netent
Dead or Alive 2,44,50,NetEnt,AT,2021-02-25,deadoralive2,netent
Sweet Bonanza,45,46,Pragmatic Play,AT,2021-02-25,sweetbonanza,pragmaticplay
Thunder Screech,46,26,Play'n Go,AT,2021-02-25,thunderscreech,playngo
Take Olympus,47,29,Betsoft,AT,2021-02-25,takeolympus,betsoft
Twin Spin Megaways,48,44,NetEnt,AT,2021-02-25,twinspinmegaways,netent
Divine Fortune,49,49,NetEnt,AT,2021-02-25,divinefortune,netent
6 Tokens of Gold,50,24,All41 Studios,AT,2021-02-25,6tokensofgold,all41studios
Buffalo Power Hold and Win,51,31,Playson,AT,2021-02-25,buffalopowerholdandwin,playson
Book of Gold: Double Chance,52,33,Playson,AT,2021-02-25,bookofgolddoublechance,playson
Jokers Luck,53,8,Skywind Group,AT,2021-02-25,jokersluck,skywindgroup
Cosmic Gems,54,12,2by2 Gaming,AT,2021-02-25,cosmicgems,2by2gaming
The Hand of Midas,55,19,Pragmatic Play,AT,2021-02-25,thehandofmidas,pragmaticplay
Temple Tumble,56,29,Relax Gaming,AT,2021-02-25,templetumble,relaxgaming
Hyper Strike,57,26,Gameburger Studios,AT,2021-02-25,hyperstrike,gameburgerstudios
Reactoonz 2,58,39,Play'n Go,AT,2021-02-25,reactoonz2,playngo
Big Bass Bonanza,59,38,Reel Kingdom,AT,2021-02-25,bigbassbonanza,reelkingdom
